序號,公司中文名稱,品牌,適合展區(IFA),主要產品,分類說明
48,星陶科技股份有限公司,Ceradex,IFA Global Markets,感測器,感測器屬於OEM/ODM供應商產品
49,晟瑞電子股份有限公司,SHORI,IFA Global Markets,繼電器,繼電器屬於OEM/ODM供應商產品
50,普動股份有限公司,PUTON,無符合展區,自動化設備、耐壓測試器,工業自動化設備不符合消費性電子展區
51,晶曄有限公司,Accordia,IFA Global Markets,按鍵開關,按鍵開關屬於OEM/ODM供應商產品
52,有電電機股份有限公司,AMIGO,IFA Global Markets,線性電源供應器,電源供應器屬於OEM/ODM供應商產品
53,李洲科技股份有限公司,Oasistek,IFA Global Markets,LED燈泡、記憶卡,LED燈泡和記憶卡屬於OEM/ODM供應商產品
54,東元電機股份有限公司,TECO,無符合展區,馬達、變壓器、冷凍空調,工業電機設備不符合消費性電子展區
55,松家電業有限公司,Zonkas,IFA Global Markets,電容器、電阻器,電子元件屬於OEM/ODM供應商產品
56,極勁股份有限公司,XPOWER Ritello,家庭用品館,空氣清淨機、吸塵器,家用清潔設備符合家庭用品館
57,樂齡智造科技股份有限公司,LTPA,健身健康裝置專區,復健器材(SODA/SPOZ),復健器材符合健身健康裝置專區
58,永電工業股份有限公司,HeatAct,IFA Global Markets,工業加熱器、電暖器,加熱器屬於OEM/ODM供應商產品
59,泰仕電子工業股份有限公司,TES,IFA Global Markets,溫度計、風速計、照度計,測量儀器屬於OEM/ODM供應商產品
60,淞英股份有限公司,Sovran,IFA Global Markets,複合塑橡膠材料,材料屬於OEM/ODM供應商產品
61,瑞愛生醫股份有限公司,RedEye,健身健康裝置專區,非侵入性檢測技術,健康檢測技術符合健身健康裝置專區
62,瑪居禮電波工業股份有限公司,Mercury,IFA Global Markets,振盪器,振盪器屬於OEM/ODM供應商產品
63,環天世通科技股份有限公司,GlobalSat,大眾通訊館,毫米波雷達、GPS、通訊天線,GPS和通訊設備符合大眾通訊館
64,盛景科技股份有限公司,Viewell,IFA Global Markets,電源供應器,電源供應器屬於OEM/ODM供應商產品
65,真茂科技股份有限公司,NetOwn,健身健康裝置專區,復健訓練器、跑步機,健身設備符合健身健康裝置專區
66,眾匯智能健康股份有限公司,MediCrowd,健身健康裝置專區,智慧穿戴裝置、健康平台,健康穿戴裝置符合健身健康裝置專區
67,睿詮國際股份有限公司,IKD,無符合展區,雷射打標機,工業打標機不符合消費性電子展區
68,禾麟數碼科技股份有限公司,Empiatech,IFA Next,成像設備,成像設備符合新創未來科技
69,美祿科技股份有限公司,MTC,IFA Global Markets,IC封裝,IC封裝屬於OEM/ODM供應商產品
70,美麗微半導體股份有限公司,Formosa MS,IFA Global Markets,二極體、電晶體,半導體元件屬於OEM/ODM供應商產品
71,聚大橡膠企業股份有限公司,Great Rubber,IFA Global Markets,橡膠密封件、按鍵,橡膠元件屬於OEM/ODM供應商產品
72,聯億通股份有限公司,UEC,IFA Next,場域電器監測,IoT監測技術符合新創未來科技
73,聯東電線材料股份有限公司,LianDung,IFA Global Markets,電線電纜,電線電纜屬於OEM/ODM供應商產品
74,聯發科技股份有限公司,MediaTek,IFA Global Markets,半導體SoC晶片,SoC晶片屬於OEM/ODM供應商產品
75,育鉦科技股份有限公司,ELJIN,IFA Global Markets,電源供應器、UPS,電源產品屬於OEM/ODM供應商產品
76,臺灣超能配電系統股份有限公司,TSPDS,IFA Global Markets,輻射冷卻系統、被動式散熱,散熱系統屬於OEM/ODM供應商產品
77,艾凡斯頓科技有限公司,Evanston AIoT,IFA Next,AIoT系統、門禁管理,AIoT技術符合新創未來科技
78,艾法科技股份有限公司,AIFA,IFA Next,感測器、遙控器、IoT,IoT技術符合新創未來科技
79,英格爾科技股份有限公司,ENG,IFA Global Markets,電源供應器,電源供應器屬於OEM/ODM供應商產品
80,英菲達科技股份有限公司,InnoTrust,大眾通訊館,網路設備、無線電對講機,通訊設備符合大眾通訊館
81,華城電機股份有限公司,Fortune,IFA Global Markets,變壓器、配電盤,工業電機設備屬於OEM/ODM供應商產品
82,華灣國際有限公司,DMAX,IFA Global Markets,PCB組裝,PCB組裝屬於OEM/ODM供應商產品
83,萬物智得股份有限公司,Qofii,IFA Next,智慧咖啡平台,智慧平台符合新創未來科技
84,藏識科技有限公司,PilotGaea,IFA Next,3D地理資訊系統,3D地理技術符合新創未來科技
85,虎門科技股份有限公司,CADMEN,IFA Global Markets,光電顯示器、LED顯示器,顯示器屬於OEM/ODM供應商產品
86,融欣電子工業股份有限公司,JACKCON,IFA Global Markets,電容器,電容器屬於OEM/ODM供應商產品
87,衡欣實業股份有限公司,AZ Instrument,IFA Global Markets,溫濕度計、氣體檢測計,測量儀器屬於OEM/ODM供應商產品
88,裕中企業股份有限公司,YIC,IFA Global Markets,石英晶體、GPS模組,電子元件屬於OEM/ODM供應商產品
89,裕麟實業有限公司,RD Tools,IFA Global Markets,焊接工具、電烙鐵,工具屬於OEM/ODM供應商產品
90,越創科技(股)公司,Viettron,電子移動館,電動載具四電系統,電動載具系統符合電子移動館
91,路昌電子企業股份有限公司,Lutron,IFA Global Markets,校正器,校正器屬於OEM/ODM供應商產品
92,路用股份有限公司,Really Useful,IFA Global Markets,線材、M型感應器接頭,線材屬於OEM/ODM供應商產品
93,遠近科技股份有限公司,UfOtouch,IFA Next,立體浮空影像技術,浮空影像技術符合新創未來科技
94,邁訊科技有限公司,Meshlink,IFA Global Markets,測試儀器、信號產生器,測試儀器屬於OEM/ODM供應商產品
95,酷鳩科技股份有限公司,Murobox,IFA Next,智慧音樂盒,智慧音樂盒符合新創未來科技
96,金利橡膠股份有限公司,Kingley,IFA Global Markets,橡膠按鍵,橡膠元件屬於OEM/ODM供應商產品
97,金宇科技股份有限公司,Vitek,IFA Global Markets,LCD模組,LCD模組屬於OEM/ODM供應商產品
98,金捷生物科技股份有限公司,GeneJet,無符合展區,診斷器材,生物診斷器材不符合消費性電子展區
99,金泰工業有限公司,JinTay,智慧居家館,電子鎖,智慧電子鎖符合智慧居家館
100,金澤工業股份有限公司,Goldenloch,IFA Global Markets,連接器、天線,連接器屬於OEM/ODM供應商產品
101,金頓科技股份有限公司,KDI,無符合展區,震動試驗機、環境測試機,工業測試設備不符合消費性電子展區
102,鈺創科技股份有限公司,Etron,IFA Global Markets,記憶體IC,記憶體IC屬於OEM/ODM供應商產品
103,鈺立微電子股份有限公司,eYs3D,IFA Next,機械視覺晶片,視覺晶片符合新創未來科技
104,錞鐿科技股份有限公司,Brymen,IFA Global Markets,三用電表、鉤表,測量儀器屬於OEM/ODM供應商產品
105,錸鑫科技股份有限公司,Lysine,IFA Global Markets,電池儲能系統,儲能系統屬於OEM/ODM供應商產品
106,阿波羅電力股份有限公司,RE100,無符合展區,綠電交易服務,能源交易服務不符合消費性電子展區
107,雅鈦企業有限公司,AEC,IFA Global Markets,連接器,連接器屬於OEM/ODM供應商產品
108,靖登實業有限公司,JDI,IFA Global Markets,通訊線材、耳麥,線材屬於OEM/ODM供應商產品
109,順琦企業有限公司,Samwell,IFA Global Markets,矽橡膠、按鍵,橡膠元件屬於OEM/ODM供應商產品
110,高柏科技股份有限公司,T-Global,IFA Global Markets,散熱材料、導熱膏,散熱材料屬於OEM/ODM供應商產品
111,黑晶科技股份有限公司,AllKym,IFA Next,工業IoT解決方案,工業IoT符合新創未來科技
