編號,公司名稱,產業類別,自有品牌,品牌英文,主要產品,備註,建議,IFA展區建議
20,凌陽科技股份有限公司,AI科技暨應用,Sunplus,Sunplus,車用晶片、智能聲學晶片,IC設計公司,保留-重點,IFA Next
21,力群電子股份有限公司,電子零組件及配件,MKS,MKS,軟板FPC、按鍵,自有品牌,保留,IFA Global Markets
22,勝安貿易股份有限公司,電子零組件及配件,-,-,UV光固化樹脂、紫外線燈,貿易商，非製造商,刪除,-
23,勝譽企業有限公司,電子零組件及配件,-,-,交換式電源供應器,主要為OEM，無自有品牌,刪除,-
24,匯嘉健康生活科技股份有限公司,AI科技暨應用,-,-,光纖式生理監測技術,技術解決方案，無自有品牌,刪除,-
25,千洋有限公司,AI科技暨應用,-,-,斷路器、薄膜電容器,代理商，無自有品牌,刪除,-
26,厚達電業股份有限公司,電子零組件及配件,-,-,延長線、電源線,主要為OEM，無自有品牌,刪除,-
27,及兆系統有限公司,電機及自動化設備,-,-,發電機、感測器,主要為代理，無自有品牌,刪除,-
28,友士股份有限公司,電子零組件及配件,USE,USE,整流二極體,貿易商社，非製造商,刪除,-
29,可立德實業有限公司,電子零組件及配件,-,-,電感器,主要為OEM，無自有品牌,刪除,-
30,台北市電腦商業同業公會,新創Big Bang,N/A,N/A,-,行業協會,刪除,-
31,台北市電腦商業同業公會,AI科技暨應用,N/A,N/A,-,行業協會(重複),刪除,-
32,台灣區電機電子工業同業公會,永續綠色能源,N/A,N/A,-,行業協會(重複),刪除,-
33,台灣嘉碩科技股份有限公司,電子零組件及配件,TAISAW,TAISAW,汽車藍牙、行車紀錄器、胎壓監測器,自有品牌,保留,IFA Global Markets
34,台灣晶端顯示貿易股份有限公司 高雄分公司,AI科技暨應用,-,-,顯示器,日本JDI台灣貿易分公司，非台灣製造商,刪除,-
35,台灣艾華電子工業股份有限公司,電子零組件及配件,Taiwan Alpha,Taiwan Alpha,開關、編碼器、可變電阻器,知名電子元件品牌,保留-重點,IFA Global Markets
36,台灣電子系統設計自動化股份有限公司,AI科技暨應用,TES-DA,TES-DA,EDA軟體(AutoDV),自有品牌,保留,智慧居家館
37,台灣顯示器產業聯合總會,AI科技暨應用,N/A,N/A,-,行業聯合會,刪除,-
38,台達電子工業股份有限公司,電機及自動化設備,Delta,Delta,電源系統、變壓器,全球領導品牌,保留-一線,智慧居家館
39,吉志實業有限公司,電子零組件及配件,-,-,晶片電阻,主要為ODM，無自有品牌,刪除,-
40,吉浩電子工業股份有限公司,電子零組件及配件,GOE,GOE,電源供應器,自有品牌,保留,IFA Global Markets
41,吉發科技股份有限公司,消費性產品及車用電子,GME,GME,電源適配器、充電器,自有品牌,保留,電子移動館
42,品固企業股份有限公司,電子零組件及配件,-,-,馬達零配件,主要為OEM，無自有品牌,刪除,-
43,哉英電子股份有限公司,電子零組件及配件,-,-,攝影機,代理商，無自有品牌,刪除,-
44,啓碁科技股份有限公司,AI科技暨應用,WNC,WNC,無線通訊模組,全球無線通訊領導品牌,保留-一線,大眾通訊館
45,啟悅國際股份有限公司,消費性產品及車用電子,KeyJoy,KeyJoy,線材、USB連接器,自有品牌,保留,電子移動館
46,啟耀光電股份有限公司,AI科技暨應用,GIO,GIO,柔性基板、透明顯示器,自有品牌,保留,IFA Next
47,啟訊企業有限公司,電子零組件及配件,-,-,網路插頭,主要為OEM，無自有品牌,刪除,-
48,啟雲科技股份有限公司,AI科技暨應用,SPE3D,SPE3D,AI虛擬攝影棚、3D Picbot,自有品牌,保留,IFA Next
49,嘉信旋鈕股份有限公司,電子零組件及配件,-,-,旋鈕、開關,主要為OEM，無自有品牌,刪除,-
50,嘉梅龍製網有限公司,電子零組件及配件,CHML,CHML,金屬網、過濾器材,自有品牌,保留,IFA Global Markets
51,嘉禾登科技有限公司,電子零組件及配件,-,-,軟板、按鍵,主要為OEM，無自有品牌,刪除,-
52,固緯電子實業股份有限公司,先進儀器儀表,GW Instek,GW Instek,示波器、信號產生器、電源供應器,台灣最大測試儀器品牌,保留-一線,IFA Next
53,國立臺北科技大學(數位轉型科技研究中心),永續綠色能源,N/A,N/A,-,學術機構,刪除,-
54,圖策科技股份有限公司,新創Big Bang,Graphen,Graphen,AI軟體、自然語言處理,自有品牌,保留,IFA Next
55,墨西哥索諾拉州,永續綠色能源,N/A,N/A,-,外國政府機構,刪除,-
56,士林電機廠股份有限公司,電機及自動化設備,SHIHLIN,SHIHLIN,馬達、變壓器、低壓開關,台灣重電四雄之一,保留-一線,智慧居家館
57,夏欣國際有限公司,電子零組件及配件,-,-,連接器,代理商、貿易商，非製造商,刪除,-
58,太能系統股份有限公司,AI科技暨應用,Pacific Smart,Pacific Smart,車載通訊系統、儲能系統,自有品牌,保留,IFA Next
59,奇景光電股份有限公司,AI科技暨應用,Himax,Himax,顯示驅動IC、CMOS影像感測器,全球顯示IC領導品牌,保留-一線,家庭娛樂館
60,奔馳科技股份有限公司,AI科技暨應用,Racer Tech,Racer Tech,IC設計、IP授權,自有品牌,保留,IFA Next
61,安立知股份有限公司,先進儀器儀表,Anritsu,Anritsu,通訊測試儀器,日本品牌台灣分公司，非台灣品牌,刪除,-
62,定昌有限公司,電機及自動化設備,-,-,電子絕緣漆,主要為代理，無自有品牌,刪除,-
63,定欣有限公司,電子零組件及配件,-,-,熱塑性彈性體,材料供應，無自有品牌,刪除,-
64,富伯生醫科技(股)公司,AI科技暨應用,RMBotics,RMBotics,醫療器材開發服務,自有品牌,保留,健身健康裝置專區
65,富威電力股份有限公司,電機及自動化設備,-,-,綠電交易服務,服務提供商，無自有品牌,刪除,-
66,寶應企業有限公司,電機及自動化設備,AVR,AVR,穩壓器,自有品牌,保留,智慧居家館
67,展躍光電科技股份有限公司,電子零組件及配件,OPLED,OPLED,LED產品、LED顯示器,自有品牌,保留,IFA Global Markets
68,崧虹科技股份有限公司,消費性產品及車用電子,Convertek,Convertek,汽車顯示器,自有品牌,保留,電子移動館
69,崴瑟智能科技股份有限公司,消費性產品及車用電子,-,-,電源適配器,主要為ODM，無自有品牌,刪除,-
70,嵩揚企業有限公司,電子零組件及配件,-,-,電源適配器,主要為OEM，無自有品牌,刪除,-
71,希格諾科技股份有限公司,新創Big Bang,SignalPro,SignalPro,毫米波雷達、AIoT解決方案,自有品牌,保留,IFA Next
72,康揚企業股份有限公司,電子零組件及配件,-,-,配線器材、紮線帶,主要為OEM，無自有品牌,刪除,-
73,得益工業儀器有限公司,先進儀器儀表,DEREE,DEREE,溫度計、照度計、三用電表,自有品牌,保留,IFA Next
74,怡和國際股份有限公司,永續綠色能源,-,-,太陽能電廠融資,投資公司，無自有品牌,刪除,-
75,悅特企業有限公司,先進儀器儀表,EIC,EIC,水質檢測儀,自有品牌,保留,IFA Next
76,悅達科技股份有限公司,雲端應用、5G及寬頻通訊,YODA,YODA,路由器、網路交換器,自有品牌,保留,大眾通訊館
77,慧誠智醫股份有限公司,AI科技暨應用,iMedtac,iMedtac,智慧醫療軟體,自有品牌,保留,IFA Next
78,戴克智慧股份有限公司,AI科技暨應用,DAIKSO,DAIKSO,醫療AI軟體,自有品牌,保留,智慧居家館
79,承洧科技股份有限公司,電子零組件及配件,CWE,CWE,連接器、線材,自有品牌,保留,IFA Global Markets
80,承鴻光電股份有限公司,AI科技暨應用,Innvaslinx,Innvaslinx,LCD、電子紙模組,自有品牌,保留,IFA Next
81,振生半導體股份有限公司,AI科技暨應用,JMemTek,JMemTek,硬體資安IC,自有品牌,保留,IFA Next
82,擎宏電子企業有限公司,先進儀器儀表,IDRC,IDRC,可程式電源供應器,自有品牌,保留,IFA Next
83,新一智能股份有限公司,AI科技暨應用,OneSmart,OneSmart,AI顯示整合、自供電模組,自有品牌,保留,智慧居家館
84,新加坡商意迪恩亞洲廣告有限公司台灣分公司,媒體區,N/A,N/A,-,媒體公司,刪除,-
85,方浩電子有限公司,光電科技,-,-,LED,主要為OEM，無自有品牌,刪除,-
86,方略電子股份有限公司,AI科技暨應用,PanelSemi,PanelSemi,混合基板,自有品牌,保留,IFA Next
87,旭捷電子股份有限公司,電子零組件及配件,MITS,MITS,電源轉換器、光纖通訊零組件,自有品牌,保留,IFA Global Markets
88,旭璟科技股份有限公司,顯示科技,STL,STL,LCD模組,自有品牌,保留,家庭娛樂館
89,旭陽國際精機股份有限公司,電機及自動化設備,GSA,GSA,馬達,自有品牌,保留,智慧居家館
90,昊青股份有限公司,AI科技暨應用,-,-,統計軟體代理(Minitab),代理商(Minitab)，無自有品牌,刪除,-
91,明創能源股份有限公司,永續綠色能源,-,-,電池系統,系統整合，無自有品牌,刪除,-
92,星陶科技股份有限公司,電子零組件及配件,Ceradex,Ceradex,感測器,自有品牌,保留,IFA Global Markets
93,晟瑞電子股份有限公司,電子零組件及配件,SHORI,SHORI,繼電器,自有品牌,保留,IFA Global Markets
94,普動股份有限公司,先進儀器儀表,PUTON,PUTON,自動化設備、耐壓測試器,自有品牌,保留,IFA Next
95,晶曄有限公司,電子零組件及配件,Accordia,Accordia,按鍵開關,自有品牌,保留,IFA Global Markets
96,有電電機股份有限公司,電子零組件及配件,AMIGO,AMIGO,線性電源供應器,自有品牌,保留,IFA Global Markets
97,李洲科技股份有限公司,電子零組件及配件,Oasistek,Oasistek,LED燈泡、記憶卡,自有品牌,保留,IFA Global Markets
98,東元電機股份有限公司,電機及自動化設備,TECO,TECO,馬達、變壓器、冷凍空調,台灣最大馬達品牌,保留-一線,智慧居家館
99,松家電業有限公司,電子零組件及配件,Zonkas,Zonkas,電容器、電阻器,自有品牌,保留,家庭用品館
100,柔洋股份有限公司,電子零組件及配件,-,-,射出成型模具,主要為OEM，無自有品牌,刪除,-
101,棋展電子股份有限公司,電子零組件及配件,-,-,自動化製造,主要為OEM，無自有品牌,刪除,-
102,極勁股份有限公司,永續綠色能源,XPOWER Ritello,XPOWER Ritello,空氣清淨機、吸塵器,自有品牌,保留,*無合適展區*
103,極客家科技有限公司,新創Big Bang,-,-,AI展覽服務,服務提供商，無自有品牌,刪除,-
104,樂齡智造科技股份有限公司,AI科技暨應用,LTPA,LTPA,復健器材(SODA/SPOZ),自有品牌,保留,IFA Next
105,永電工業股份有限公司,電子零組件及配件,HeatAct,HeatAct,工業加熱器、電暖器,自有品牌,保留,IFA Global Markets
106,泰仕電子工業股份有限公司,先進儀器儀表,TES,TES,溫度計、風速計、照度計,專業測量儀器品牌,保留-重點,IFA Next
107,浩興電子有限公司,AI科技暨應用,-,-,印刷電路板,主要為OEM，無自有品牌,刪除,-
108,淞英股份有限公司,電子零組件及配件,Sovran,Sovran,複合塑橡膠材料,自有品牌,保留,IFA Global Markets
109,瀚荃股份有限公司,電子零組件及配件,-,-,連接器、軟性排線,主要為OEM，無自有品牌,刪除,-
110,瑞愛生醫股份有限公司,AI科技暨應用,RedEye,RedEye,非侵入性檢測技術,自有品牌,保留,健身健康裝置專區
111,瑪居禮電波工業股份有限公司,電子零組件及配件,Mercury,Mercury,振盪器,自有品牌,保留,IFA Global Markets
112,環天世通科技股份有限公司,次世代通訊,GlobalSat,GlobalSat,毫米波雷達、GPS、通訊天線,自有品牌,保留-重點,大眾通訊館
113,盛景科技股份有限公司,顯示科技,Viewell,Viewell,電源供應器,自有品牌,保留,家庭娛樂館
114,真茂科技股份有限公司,AI科技暨應用,NetOwn,NetOwn,復健訓練器、跑步機,自有品牌,保留,IFA Next
115,眾匯智能健康股份有限公司,AI科技暨應用,MediCrowd,MediCrowd,智慧穿戴裝置、健康平台,自有品牌,保留,健身健康裝置專區
116,睿詮國際股份有限公司,電機及自動化設備,IKD,IKD,雷射打標機,自有品牌,保留,智慧居家館
117,禾信實業股份有限公司,電子零組件及配件,-,-,LCD模組,主要為ODM，無自有品牌,刪除,-
118,禾麟數碼科技股份有限公司,AI科技暨應用,Empiatech,Empiatech,成像設備,自有品牌,保留,IFA Next
119,經濟部產發署智慧電子產業計畫推動辦公室,AI科技暨應用,N/A,N/A,-,政府機構,刪除,-
120,美祿科技股份有限公司,消費性產品及車用電子,MTC,MTC,IC封裝,自有品牌,保留,電子移動館
121,美麗微半導體股份有限公司,電子零組件及配件,Formosa MS,Formosa MS,二極體、電晶體,自有品牌,保留,IFA Global Markets
122,聚大橡膠企業股份有限公司,電子零組件及配件,Great Rubber,Great Rubber,橡膠密封件、按鍵,自有品牌,保留,IFA Global Markets
123,聯億通股份有限公司,AI科技暨應用,UEC,UEC,場域電器監測,自有品牌,保留,IFA Next
124,聯合國際資訊股份有限公司,媒體區,N/A,N/A,-,媒體平台,刪除,-
125,聯東電線材料股份有限公司,電機及自動化設備,LianDung,LianDung,電線電纜,自有品牌,保留,智慧居家館
126,聯發科技股份有限公司,AI科技暨應用,MediaTek,MediaTek,半導體SoC晶片,全球第三大IC設計公司,保留-一線,IFA Next
127,育鉦科技股份有限公司,電子零組件及配件,ELJIN,ELJIN,電源供應器、UPS,自有品牌,保留,IFA Global Markets
128,臣益實業股份有限公司,電子零組件及配件,-,-,電線電纜,主要為OEM，無自有品牌,刪除,-
129,致承科技有限公司,電子零組件及配件,-,-,IC封裝、玻璃金屬密封,主要為代工，無自有品牌,刪除,-
130,臺灣山光社有限公司,新創Big Bang,Sankosha,Sankosha,突波保護器,日本品牌台灣代理，非台灣品牌,刪除,-
131,臺灣思諾梵電機股份有限公司,電子零組件及配件,SNOWFAN,SNOWFAN,散熱風扇,自有品牌,保留-重點,IFA Global Markets
132,臺灣超能配電系統股份有限公司,永續綠色能源,TSPDS,TSPDS,輻射冷卻系統、被動式散熱,自有品牌,保留,*無合適展區*
133,艾凡斯頓科技有限公司,新創Big Bang,Evanston AIoT,Evanston AIoT,AIoT系統、門禁管理,自有品牌,保留,IFA Next
134,艾法科技股份有限公司,AI科技暨應用,AIFA,AIFA,感測器、遙控器、IoT,自有品牌,保留,IFA Next
135,英屬維京群島商美佳印科技有限公司台灣分公司,電子零組件及配件,MegaIn,MegaIn,場效電晶體,外商分公司，非台灣本土製造商,刪除,-
136,英格爾科技股份有限公司,電子零組件及配件,ENG,ENG,電源供應器,自有品牌,保留,IFA Global Markets
137,英菲達科技股份有限公司,雲端應用、5G及寬頻通訊,InnoTrust,InnoTrust,網路設備、無線電對講機,自有品牌,保留,大眾通訊館
138,華城電機股份有限公司,電機及自動化設備,Fortune,Fortune,變壓器、配電盤,台灣最大變壓器品牌,保留-一線,智慧居家館
139,華灣國際有限公司,電子零組件及配件,DMAX,DMAX,PCB組裝,自有品牌,保留,IFA Global Markets
140,萬物智得股份有限公司,AI科技暨應用,Qofii,Qofii,智慧咖啡平台,自有品牌,保留,IFA Next
141,藏識科技有限公司,AI科技暨應用,PilotGaea,PilotGaea,3D地理資訊系統,自有品牌,保留,IFA Next
142,虎門科技股份有限公司,光電科技,CADMEN,CADMEN,光電顯示器、LED顯示器,自有品牌,保留,*無合適展區*
143,融欣電子工業股份有限公司,電子零組件及配件,JACKCON,JACKCON,電容器,自有品牌,保留,IFA Global Markets
144,衡欣實業股份有限公司,先進儀器儀表,AZ Instrument,AZ Instrument,溫濕度計、氣體檢測計,自有品牌,保留-重點,IFA Next
145,裕中企業股份有限公司,電子零組件及配件,YIC,YIC,石英晶體、GPS模組,自有品牌,保留,IFA Global Markets
146,裕麟實業有限公司,電子零組件及配件,RD Tools,RD Tools,焊接工具、電烙鐵,自有品牌,保留,IFA Global Markets
147,財團法人中衛發展中心,新創Big Bang,N/A,N/A,-,財團法人,刪除,-
148,財團法人工業技術研究院,AI科技暨應用,N/A,N/A,-,研究機構,刪除,-
149,財團法人工業技術研究院 -產業服務中心,AI科技暨應用,N/A,N/A,-,研究機構(重複),刪除,-
150,財團法人工業技術研究院(AITA),AI科技暨應用,N/A,N/A,-,研究機構(重複),刪除,-
151,財團法人紡織產業綜合研究所,工業物聯及嵌入式系統,N/A,N/A,-,研究機構,刪除,-
152,財團法人資訊工業策進會 -產業情報研究所,AI科技暨應用,N/A,N/A,-,研究機構,刪除,-
153,財團法人資訊工業策進會 -軟體技術研究院,AI科技暨應用,N/A,N/A,-,研究機構,刪除,-
154,財團法人資訊工業策進會-數位轉型研究院,AI科技暨應用,N/A,N/A,-,研究機構,刪除,-
155,越創科技(股)公司,AI科技暨應用,Viettron,Viettron,電動載具四電系統,自有品牌,保留,IFA Next
156,路昌電子企業股份有限公司,先進儀器儀表,Lutron,Lutron,校正器,自有品牌,保留-重點,IFA Next
157,路用股份有限公司,工業物聯及嵌入式系統,Really Useful,Really Useful,線材、M型感應器接頭,自有品牌,保留,*無合適展區*
158,連靖企業股份有限公司,電子零組件及配件,-,-,固定電阻器,主要為OEM，無自有品牌,刪除,-
159,遠播資訊股份有限公司,媒體區,N/A,N/A,-,媒體公司,刪除,-
160,遠近科技股份有限公司,AI科技暨應用,UfOtouch,UfOtouch,立體浮空影像技術,自有品牌,保留,IFA Next
161,邁世國際瑞星股份有限公司,先進儀器儀表,APPA,APPA,電表、測量儀器,自有品牌(代理),保留,IFA Next
162,邁訊科技有限公司,先進儀器儀表,Meshlink,Meshlink,測試儀器、信號產生器,自有品牌,保留,IFA Next
163,酷鳩科技股份有限公司,AI科技暨應用,Murobox,Murobox,智慧音樂盒,自有品牌,保留-重點,IFA Next
164,金利橡膠股份有限公司,電子零組件及配件,Kingley,Kingley,橡膠按鍵,自有品牌,保留,IFA Global Markets
165,金宇科技股份有限公司,顯示科技,Vitek,Vitek,LCD模組,自有品牌,保留,家庭娛樂館
166,金捷生物科技股份有限公司,AI科技暨應用,GeneJet,GeneJet,診斷器材,自有品牌,保留,IFA Next
167,金泰工業有限公司,AI科技暨應用,JinTay,JinTay,電子鎖,自有品牌,保留,IFA Next
168,金澤工業股份有限公司,電子零組件及配件,Goldenloch,Goldenloch,連接器、天線,自有品牌,保留,IFA Global Markets
169,金頓科技股份有限公司,先進儀器儀表,KDI,KDI,震動試驗機、環境測試機,自有品牌,保留,IFA Next
170,鈺創科技股份有限公司,AI科技暨應用,Etron,Etron,記憶體IC,記憶體IC設計領導品牌,保留-一線,IFA Next
171,鈺立微電子股份有限公司,AI科技暨應用,eYs3D,eYs3D,機械視覺晶片,自有品牌,保留,IFA Next
172,銳鋒股份有限公司,雲端應用、5G及寬頻通訊,Taoglas,Taoglas,天線、連接器,愛爾蘭品牌，非台灣品牌,刪除,-
173,錞鐿科技股份有限公司,先進儀器儀表,Brymen,Brymen,三用電表、鉤表,自有品牌,保留-重點,IFA Next
174,錸鑫科技股份有限公司,永續綠色能源,Lysine,Lysine,電池儲能系統,自有品牌,保留,*無合適展區*
175,鍵科有限公司,電子零組件及配件,-,-,按鍵,主要為OEM，無自有品牌,刪除,-
176,阿波羅電力股份有限公司,永續綠色能源,RE100,RE100,綠電交易服務,自有品牌,保留,*無合適展區*
177,雅鈦企業有限公司,電子零組件及配件,AEC,AEC,連接器,自有品牌,保留,IFA Global Markets
178,靖登實業有限公司,消費性產品及車用電子,JDI,JDI,通訊線材、耳麥,自有品牌,保留,電子移動館
179,順琦企業有限公司,電子零組件及配件,Samwell,Samwell,矽橡膠、按鍵,自有品牌,保留,IFA Global Markets
180,香港商毓得有限公司台灣分公司,電子零組件及配件,EDAC,EDAC,連接器,加拿大品牌，非台灣品牌,刪除,-
181,高柏科技股份有限公司,電子零組件及配件,T-Global,T-Global,散熱材料、導熱膏,自有品牌,保留,IFA Global Markets
182,黑晶科技股份有限公司,AI科技暨應用,AllKym,AllKym,工業IoT解決方案,自有品牌,保留-重點,IFA Next
